"Male","Female"
296,735
777,658
413,533
840,775
209,311
55,62
722,659
334,295
1047,1218
318,418
754,848
410,544
532,490
795,572
384,439
390,429
327,302
702,791
626,654
842,681
134,316
378,332
728,643
1166,798
567,636
399,543
572,594
223,208
762,790
706,627
859,845
270,233
519,468
242,299
616,655
596,615
207,181
560,897
1104,1335
231,280
602,522
436,308
537,573
209,285
832,822
493,471
507,619
313,266
484,478
632,621
376,365
878,826
450,406
399,478
360,357
211,247
258,202
1322,1073
347,234
691,862
916,945
154,456
454,553
759,571
448,377
872,862
426,460
166,283
458,535
892,766
339,511
631,613
332,582
372,321
569,615
377,435
528,672
816,993
368,365
472,416
488,563
554,586
761,715
560,893
520,523
567,617
566,484
337,291
387,450
545,586
304,361
204,183
730,719
346,373
226,209
458,380
339,295
650,543
707,661
377,383
237,241
23,0
1104,1057
397,423
650,534
399,337
650,636
292,267
462,226
870,694
467,455
342,360
664,773
1002,778
413,767
884,700
285,254
593,408
385,421
363,440
301,177
307,305
278,287
726,779
653,671
343,232
605,877
287,285
485,498
257,318
582,566
514,364
427,600
429,513
627,712
645,475
456,465
301,317
898,781
294,325
11,15
21,69
625,627
515,496
745,631
263,248
252,295
215,343
330,335
430,414
450,818
718,1153
235,322
427,565
300,313
468,433
327,421
301,317
567,631
511,585
288,279
505,627
625,801
569,598
685,625
637,825
873,932
491,554
173,205
244,248
371,290
578,571
453,444
522,405
578,502
446,375
385,535
1144,1150
625,786
433,349
343,468
614,923
318,192
355,381
215,306
217,356
674,879
673,697
530,814
402,392
267,240
209,244
772,889
856,798
182,318
412,489
404,490
419,349
1085,645
214,261
402,485
308,306
477,623
685,842
401,352
744,661
435,540
692,558
493,334
338,378
244,248
433,496
785,695
659,562
349,571
559,581
148,228
520,415
587,611
190,241
372,386
298,282
497,704
1102,1099
399,485
460,522
464,494
249,282
240,211
533,527
393,425
380,422
823,795
1036,886
920,686
301,456
531,414
378,399
538,608
587,404
365,617
306,382
485,660
492,892
75,128
1162,1324
463,423
539,482
494,789
652,557
613,508
286,200
647,487
186,500
535,249
523,562
395,572
527,297
165,226
444,808
343,297
822,1166
439,336
691,688
325,564
332,342
168,251
294,351
633,540
454,380
601,474
386,450
1193,1090
1043,950
178,190
658,680
266,278
573,675
580,792
197,175
292,184
109,84
287,243
424,509
392,364
147,135
103,0
593,265
549,317
419,491
809,692
701,637
418,436
757,580
331,276
557,599
380,315
499,468
763,868
462,485
470,319
683,689
282,338
947,841
462,623
438,425
424,365
337,367
292,196
421,469
137,158
525,544
644,663
330,316
482,669
442,470
463,474
608,669
675,634
465,447
626,778
549,417
983,1283
420,412
404,381
312,438
510,556
439,468
894,800
58,171
664,852
897,918
784,908
439,427
403,34
408,306
352,396
368,546
287,318
399,445
533,717
253,437
389,437
522,583
506,574
549,547
498,463
711,784
432,484
444,424
667,1069
851,931
843,852
435,408
938,1113
451,401
593,603
624,583
452,437
510,549
819,1045
585,585
783,681
486,486
244,279
190,237
544,509
684,624
455,357
547,515
303,253
388,392
280,121
248,185
448,425
267,436
305,406
620,561
742,866
933,1132
976,657
309,227
217,262
280,339
609,668
592,574
590,655
85,85
1217,1102
290,368
973,977
280,242
868,462
615,891
506,436
513,429
671,690
611,694
498,503
793,813
678,614
545,500
525,273
189,214
470,448
569,631
340,355
444,651
236,287
379,376
366,485
331,566
603,571
340,285
648,537
1159,1065
584,553
823,890
640,649
660,578
457,394
521,604
379,655
300,322
449,261
283,253
857,984
943,747
346,405
565,753
387,438
493,477
1000,901
482,483
353,423
416,454
497,496
813,646
835,997
634,982
633,751
564,569
747,919
477,777
477,412
1008,889
737,725
472,769
234,235
426,568
631,814
374,371
859,990
154,196
731,793
290,210
393,330
215,294
492,666
499,456
310,328
847,1204
524,592
248,332
504,837
456,528
590,673
235,383
357,429
381,490
387,666
232,685
385,584
295,698
99,366
217,593
46,192
553,548
744,928
688,555
501,474
261,226
602,560
769,819
746,570
397,433
834,872
727,895
527,609
654,609
395,369
1092,1247
747,483
829,1079
682,840
1142,1360
292,171
844,703
854,1032
659,565
464,470
748,626
871,1017
469,714
343,341
477,668
947,1086
762,729
383,363
355,368
617,517
1028,1161
203,191
615,507
720,876
522,538
39,25
621,837
771,867
714,647
423,437
564,591
417,506
533,630
846,847
626,540
512,686
923,948
268,509
392,229
599,602
1178,1175
342,326
401,475
441,452
1044,665
507,499
534,491
201,181
590,658
683,764
861,918
530,585
0,19
284,384
48,4
357,368
3167,73
552,571
414,502
534,531
348,411
639,571
431,378
716,620
131,172
197,74
410,390
173,432
648,535
837,830
288,273
207,404
679,518
11,10
340,305
